9158,03/12/2023,25/12/2023,10:47:18,009912MA39001,I-RUN,39,BOTIN BLANCO VERDE,108.00,CAJAMARCA,KEVIN,CAJAMARCA,160.00,electronico,IZIPAY,
8980,23/12/2023,24/12/2023,10:51:49,010057MA34002,PUNTO,34,NEGRO ROSADO UVA-VALENCIAGA,90.00,CAJAMARCA,KEVIN,CAJAMARCA,130.00,efectivo,,
8638,27/07/2023,20/12/2023,10:53:18,009486MA30001,C-DUCK COOL,30,BLANCO NEGRO URBANA,75.00,CAJAMARCA,CARLITOS,CAJAMARCA,105.00,efectivo,,
8981,05/12/2023,24/12/2023,10:55:24,009951MA18001,JIANLEXIONG,18,BLANCO VERDE GALLETA,65.00,CAJAMARCA,KEVIN,CAJAMARCA,100.00,efectivo,,
8982,11/11/2023,24/12/2023,10:57:49,009856MA38001,NEW ATHLETIC,38,NEGRO LILA-TODO TERRENO,111.00,CAJAMARCA,PAMELA,CAJAMARCA,150.00,efectivo,,
8563,07/03/2023,18/12/2023,10:57:55,008852MA35003,ESPACE PRETY MATS,35,BLANCO CUERO VARIOS,50.00,CAJAMARCA,PAMELA,CAJAMARCA,60.00,efectivo,OFERTA,
8564,15/09/2023,18/12/2023,10:58:20,009694MA35001,ANDALOZ,35,BOTIN NEGRO CUERO,70.00,CAJAMARCA,PAMELA,CAJAMARCA,58.00,efectivo,OFERTA,
8983,26/01/2021,24/12/2023,10:58:29,005074MA29001,JHORDAN NACIONAL,29,BOTIN ROSADA BLANCO,38.00,CAJAMARCA,CARLITOS,CAJAMARCA,40.00,efectivo,,
8565,26/11/2019,18/12/2023,10:58:47,002170MA35001,IVANO,35,VANS AZUL ACERO GAMUZA,70.00,LORETO,PAMELA,CAJAMARCA,70.00,efectivo,OFERTA,
8984,11/11/2023,24/12/2023,10:58:48,009852MA42001,NEW ATHLETIC,42,VERDE MILITAR TO-TERRENO,112.00,CAJAMARCA,DIEGO,CAJAMARCA,153.00,efectivo,,
8985,21/12/2023,24/12/2023,10:59:03,010044MA37002,NEW ATHLETIC,37,NEGRO PLATA DEPORTIVO,112.00,CAJAMARCA,DIEGO,CAJAMARCA,145.00,efectivo,,
8566,13/03/2021,18/12/2023,10:59:10,005218MA35003,MATS PIVAS NIKITA,35,BLANCO ESCOLAR CUERO,49.00,CAJAMARCA,PAMELA,CAJAMARCA,25.00,efectivo,OFERTA,
9159,23/12/2023,25/12/2023,11:00:20,010067MA40003,KALOIS,40,AZUL GRAVADO PASADOR,98.00,CAJAMARCA,JACK,CAJAMARCA,160.00,efectivo,,
8986,08/09/2023,24/12/2023,11:00:21,009659MA33001,VIERI,33,NEGRO ROJO DEPORTIVO,94.00,CAJAMARCA,FRAN,CAJAMARCA,113.00,electronico,yape,
8987,11/11/2022,24/12/2023,11:00:35,008214MA40001,WALON,40,NEGRO ROJO GOMA,78.00,CAJAMARCA,FRAN,CAJAMARCA,115.00,electronico,yape,
8988,15/06/2019,24/12/2023,11:02:22,000971MA4101,NEW ATHLETIC,41,CAPSULA TEJIDO/FIBRA A/B,98.00,CAJAMARCA,JACK,CAJAMARCA,100.00,efectivo,,
8989,21/08/2021,24/12/2023,11:02:34,005972MA40001,DROMEDAR-120,40,AZUL AMARILLO GOMA,82.00,CAJAMARCA,JACK,CAJAMARCA,110.00,efectivo,,
8751,25/11/2023,22/12/2023,11:04:46,009869MA34001,IVANO,34,NEGRO BLANCO NUEVO-HUECO,88.00,CAJAMARCA,CARLITOS,CAJAMARCA,125.00,electronico,YAPE,
